BVP   HR   IBI   EDA    ST    aceleracion_x    aceleracion_y    aceleracion_z    stress
62    75   800   2.3    30    0.1              -0.2              0.5               0
65    80   750   2.0    32    0.3               0.1              0.4               1
68    85   710   1.8    28    -0.2              -0.1              0.6               0
70    78   770   2.5    31    0.0               0.2              0.3               1
63    72   825   2.7    29    -0.1              0.1              -0.2              0
75    88   680   1.5    35    0.4               -0.3             0.1               1
78    92   660   1.3    34    -0.5              0.4              -0.1              0
72    80   750   2.2    33    0.2               0.3              0.0               1
68    75   800   2.5    30    0.1               -0.1             0.2               0
80    95   630   1.0    36    -0.3              0.2              -0.3              1
85    98   610   0.8    38    0.5               -0.4             0.1               0
90    100  600   0.7    40    -0.2              0.1              0.4               1
72    85   710   1.7    29    0.0               0.1              -0.1              0
75    90   670   1.2    34    -0.4              -0.2             0.3               1
78    82   730   2.0    32    0.2               -0.3             0.1               0
82    96   640   1.1    37    0.1               0.3              -0.2              1
65    72   825   2.8    28    -0.1              0.0              0.2               0
70    78   770   2.3    31    0.4               -0.4             0.2               1
88    105  570   0.5    42    0.2               0.1              -0.4              0
92    110  550   0.4    45    -0.3              -0.2             0.3               1
